num_gpus: 1, num_cpus: 5, batch_size: 4, mean_lats: 52.8134011907, p99_lats: 53.4871695665, thrus: 30.3748273852, model_p99: 138353.299999999995862, app_p99: 100716060.539999999339
num_gpus: 1, num_cpus: 2, batch_size: 1, mean_lats: 54.2592274483, p99_lats: 54.9901870242, thrus: 28.1431069999, model_p99: 54006.3299999999908323, app_p99: 102807954.109999992099
num_gpus: 1, num_cpus: 6, batch_size: 2, mean_lats: 53.1050026197, p99_lats: 53.7829366178, thrus: 30.0223647531, model_p99: 70150.8600000000010368, app_p99: 100817778.360000000161
num_gpus: 1, num_cpus: 5, batch_size: 8, mean_lats: 53.0694641966, p99_lats: 53.7466713599, thrus: 30.7321359301, model_p99: 272572.079999999996289, app_p99: 100504504.200000000492
num_gpus: 1, num_cpus: 1, batch_size: 1, mean_lats: 95.8854617275, p99_lats: 96.5691464588, thrus: 29.7212983766, model_p99: 38127.479999999996835, app_p99: 113893795.879999998986
num_gpus: 1, num_cpus: 3, batch_size: 1, mean_lats: 53.2932127355, p99_lats: 53.9891043296, thrus: 29.2722501368, model_p99: 44811.9500000000057298, app_p99: 102107178.330000004615
num_gpus: 1, num_cpus: 2, batch_size: 1, mean_lats: 54.0430359117, p99_lats: 54.7691947728, thrus: 28.2372481728, model_p99: 52858.2599999999956708, app_p99: 102754146.879999992707
num_gpus: 1, num_cpus: 2, batch_size: 4, mean_lats: 53.5734888722, p99_lats: 54.2552024783, thrus: 30.079243867, model_p99: 159532.54999999997483, app_p99: 101737081.979999999014
num_gpus: 1, num_cpus: 6, batch_size: 1, mean_lats: 52.9172147913, p99_lats: 53.6072312618, thrus: 29.488910218, model_p99: 35759.180000000000291, app_p99: 101203257.080000004134
num_gpus: 1, num_cpus: 3, batch_size: 4, mean_lats: 53.5104575223, p99_lats: 54.1974017616, thrus: 29.9201966579, model_p99: 169021.600000000002183, app_p99: 101815945.300000000512
num_gpus: 1, num_cpus: 1, batch_size: 2, mean_lats: 53.00273188, p99_lats: 53.6653392629, thrus: 30.6045098523, model_p99: 67278.2499999999997726, app_p99: 101374928.159999999792
num_gpus: 1, num_cpus: 1, batch_size: 4, mean_lats: 53.2271524389, p99_lats: 53.8791420603, thrus: 31.2299673898, model_p99: 134652.940000000041664, app_p99: 100987967.340000010277
num_gpus: 1, num_cpus: 4, batch_size: 2, mean_lats: 53.1273141643, p99_lats: 53.8036893377, thrus: 30.0885001995, model_p99: 69492, app_p99: 100811841.080000000504
num_gpus: 1, num_cpus: 6, batch_size: 4, mean_lats: 52.7356495877, p99_lats: 53.4006334744, thrus: 30.714896412, model_p99: 137573.799999999997453, app_p99: 100496964.379999998877
num_gpus: 1, num_cpus: 2, batch_size: 8, mean_lats: 53.6280941241, p99_lats: 54.3200735412, thrus: 30.1867610908, model_p99: 303837.659999999986042, app_p99: 101665721.559999998841
num_gpus: 1, num_cpus: 2, batch_size: 2, mean_lats: 54.2504322882, p99_lats: 54.9453559246, thrus: 29.4021780165, model_p99: 86006.4700000000098044, app_p99: 102105524.600000000944
num_gpus: 1, num_cpus: 3, batch_size: 8, mean_lats: 53.0461495484, p99_lats: 53.7354277416, thrus: 30.2905551523, model_p99: 286188.71999999997729, app_p99: 100743402.920000000573
num_gpus: 1, num_cpus: 1, batch_size: 8, mean_lats: 52.7444834975, p99_lats: 53.3987047567, thrus: 31.6195623232, model_p99: 270498.390000000045802, app_p99: 100750617.199999999488
num_gpus: 1, num_cpus: 5, batch_size: 1, mean_lats: 53.1294163848, p99_lats: 53.8225983543, thrus: 29.3693724171, model_p99: 36082.7199999999997999, app_p99: 101254961.319999994383
num_gpus: 1, num_cpus: 4, batch_size: 1, mean_lats: 53.132507911, p99_lats: 53.8259211836, thrus: 29.3348311175, model_p99: 35884.75, app_p99: 101294804
num_gpus: 1, num_cpus: 6, batch_size: 8, mean_lats: 52.6739946349, p99_lats: 53.3461973634, thrus: 30.9539928937, model_p99: 271209, app_p99: 100344294.059999999416
num_gpus: 1, num_cpus: 5, batch_size: 2, mean_lats: 52.6639731441, p99_lats: 53.3432550984, thrus: 29.9681330382, model_p99: 70422.5499999999999545, app_p99: 100907584.279999998158
num_gpus: 1, num_cpus: 2, batch_size: 2, mean_lats: 53.6337247829, p99_lats: 54.3236859691, thrus: 29.5922245748, model_p99: 85575.7999999999797183, app_p99: 101929192.679999989807
num_gpus: 1, num_cpus: 4, batch_size: 4, mean_lats: 52.7854036429, p99_lats: 53.4589569307, thrus: 30.3952692714, model_p99: 138041.999999999995907, app_p99: 100779066.859999999382
num_gpus: 1, num_cpus: 3, batch_size: 2, mean_lats: 53.8475860513, p99_lats: 54.5310928509, thrus: 29.8129902448, model_p99: 77322.0500000000195087, app_p99: 101802490.000000000204
num_gpus: 1, num_cpus: 4, batch_size: 8, mean_lats: 52.6842697551, p99_lats: 53.3576229476, thrus: 30.9068309167, model_p99: 270632, app_p99: 100514683.899999999412
