num_gpus: 0, num_cpus: 1, batch_size: 64, mean_lats: 0.709228173065, p99_lats: 0.712882102563, thrus: 3828.86287648, model_p99: 2269.96000000000003638, app_p99: 4445.02999999999974534
num_gpus: 0, num_cpus: 3, batch_size: 8, mean_lats: 0.819951434673, p99_lats: 0.824177346382, thrus: 4322.23927263, model_p99: 3578, app_p99: 32610.9899999999915963
num_gpus: 0, num_cpus: 4, batch_size: 8, mean_lats: 0.936036790151, p99_lats: 0.940295565477, thrus: 3256.55385071, model_p99: 5713.43000000001666194, app_p99: 32710.0299999999997453
num_gpus: 0, num_cpus: 4, batch_size: 16, mean_lats: 0.862064022915, p99_lats: 0.866273907889, thrus: 3293.92273456, model_p99: 5496.24000000000251021, app_p99: 10271.6899999999941429
num_gpus: 0, num_cpus: 3, batch_size: 32, mean_lats: 0.796009247638, p99_lats: 0.799898751055, thrus: 3276.5081852, model_p99: 2170.45999999999821739, app_p99: 4086.11999999999898137
num_gpus: 0, num_cpus: 4, batch_size: 1, mean_lats: 8.10275937085, p99_lats: 8.14233040603, thrus: 593.431574499, model_p99: 1984.02999999999974534, app_p99: 15446912.9999999995416
num_gpus: 0, num_cpus: 4, batch_size: 4, mean_lats: 1.09210971196, p99_lats: 1.09723645402, thrus: 2175.15957169, model_p99: 3749.48000000000229193, app_p99: 1311224.65999999948508
num_gpus: 0, num_cpus: 3, batch_size: 1, mean_lats: 8.03779894774, p99_lats: 8.07672542729, thrus: 596.508412352, model_p99: 1893.08999999999923602, app_p99: 15365265.6299999995617
num_gpus: 0, num_cpus: 4, batch_size: 2, mean_lats: 3.70096929548, p99_lats: 3.71943232985, thrus: 1161.66788648, model_p99: 2052.02999999999974534, app_p99: 6958853.92999999955919
num_gpus: 0, num_cpus: 2, batch_size: 32, mean_lats: 0.724156365528, p99_lats: 0.727661178191, thrus: 3516.04203413, model_p99: 2161.27999999999997272, app_p99: 4194.08999999999923602
num_gpus: 0, num_cpus: 3, batch_size: 64, mean_lats: 0.89046299608, p99_lats: 0.895123319347, thrus: 4275.32051472, model_p99: 2374.66999999999643478, app_p99: 6494.38999999999668944
num_gpus: 0, num_cpus: 2, batch_size: 64, mean_lats: 0.745226648342, p99_lats: 0.749119570251, thrus: 3799.81904728, model_p99: 2151.23000000000024556, app_p99: 4041.11999999999898137
num_gpus: 0, num_cpus: 4, batch_size: 32, mean_lats: 0.860116287337, p99_lats: 0.864370151658, thrus: 3298.16091618, model_p99: 4013.49999999999590727, app_p99: 13919.0299999999997453
num_gpus: 0, num_cpus: 2, batch_size: 16, mean_lats: 0.73741889809, p99_lats: 0.741208655327, thrus: 3462.08324944, model_p99: 2202.00000000000045475, app_p99: 4322.32999999999719876
num_gpus: 0, num_cpus: 3, batch_size: 16, mean_lats: 0.894216301407, p99_lats: 0.898662147688, thrus: 3887.95229485, model_p99: 3598.99999999999727152, app_p99: 7593.74999999999363354
num_gpus: 0, num_cpus: 1, batch_size: 4, mean_lats: 0.918339193367, p99_lats: 0.922647256181, thrus: 2216.54396379, model_p99: 2047.98000000000001819, app_p99: 1532174.35999999956402
num_gpus: 0, num_cpus: 1, batch_size: 16, mean_lats: 0.691927973769, p99_lats: 0.695400625126, thrus: 3579.61387115, model_p99: 2274.48000000000001819, app_p99: 4731.17999999999847205
num_gpus: 0, num_cpus: 1, batch_size: 32, mean_lats: 0.582059428442, p99_lats: 0.585236023518, thrus: 3214.49555519, model_p99: 2653.23999999999978172, app_p99: 8666.73999999998522981
num_gpus: 0, num_cpus: 4, batch_size: 64, mean_lats: 0.929517828141, p99_lats: 0.93403340809, thrus: 3362.45921832, model_p99: 5336.91999999999484317, app_p99: 8947.05999999999949068
num_gpus: 0, num_cpus: 2, batch_size: 4, mean_lats: 0.892247714673, p99_lats: 0.896945471206, thrus: 2200.42191499, model_p99: 2101.76000000000021828, app_p99: 1513363.86999999999261
num_gpus: 0, num_cpus: 3, batch_size: 2, mean_lats: 3.68485011387, p99_lats: 3.70269139095, thrus: 1172.99500579, model_p99: 1936.02999999999974534, app_p99: 6932534.63999999957014
num_gpus: 0, num_cpus: 2, batch_size: 2, mean_lats: 3.54132116261, p99_lats: 3.55866793055, thrus: 1192.96851339, model_p99: 1949.08999999999923602, app_p99: 6656975.97999999957574
num_gpus: 0, num_cpus: 2, batch_size: 8, mean_lats: 0.728516300101, p99_lats: 0.732123543116, thrus: 3555.96960007, model_p99: 2184.87999999999919964, app_p99: 26224.4699999999875217
num_gpus: 0, num_cpus: 1, batch_size: 1, mean_lats: 7.90564681789, p99_lats: 7.94346553643, thrus: 605.522206995, model_p99: 1776, app_p99: 15166731.6399999996211
num_gpus: 0, num_cpus: 1, batch_size: 2, mean_lats: 3.63535562894, p99_lats: 3.65385852618, thrus: 1201.884849, model_p99: 1824.02999999999974534, app_p99: 6828031.55999999960477
num_gpus: 0, num_cpus: 1, batch_size: 8, mean_lats: 0.667686720603, p99_lats: 0.67067034407, thrus: 2844.94203751, model_p99: 2047.5, app_p99: 128615.219999999955689
num_gpus: 0, num_cpus: 3, batch_size: 4, mean_lats: 0.934321026834, p99_lats: 0.938810936382, thrus: 2206.3019223, model_p99: 2932.46999999988247509, app_p99: 1266772.56999999956224
num_gpus: 0, num_cpus: 2, batch_size: 1, mean_lats: 7.89874281729, p99_lats: 7.93684555764, thrus: 604.706614366, model_p99: 1810.08999999999923602, app_p99: 15145028.2899999995816
